Date,Latitude Start,Longitude Start,Latitude Mid,Longitude Mid,Latitude Stop,Longitude Stop,Depth (m),SVY,Parameters,EOV Groups,source_file,program,mission,yr,platform,frequency_label
2015-05-09,36.742825,-122.072998,36.7494015,-122.087776,36.755978,-122.102554,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-09,36.756149,-122.103012,36.761877,-122.118269,36.767605,-122.133526,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-10,36.17297,-122.126709,36.1602385,-122.121086,36.147507,-122.115463,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-10,35.538231,-121.449432,35.545319,-121.44017,35.552406,-121.430908,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-11,34.928158,-120.944778,34.9163495,-120.936752,34.904541,-120.928726,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-11,34.766796,-120.843536,34.754866,-120.836376,34.742935,-120.829216,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-11,34.742363,-120.828857,34.730213,-120.822044,34.718063,-120.815231,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-11,34.555962,-120.702705,34.546265,-120.691783,34.536568,-120.680862,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-11,34.536209,-120.680206,34.528442,-120.667049,34.520676,-120.653893,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
2015-05-11,34.442219,-120.518181,34.434111,-120.505112,34.426003,-120.492043,NA,CalCOFI,Marine Mammal Abundance; Marine Mammal Behavior; Marine Mammal Species,Biological,Transect_MarineMammal_Species_behavior_abundance.csv,CalCOFI,NA,NA,NA,NA
